,SKU_list,Brand,NotRepeat
290,ILTSSC03B,IL,
291,ILTSSC15B,IL,
292,ILTSSC25B,IL,
293,JA71SP226ARA,JA,
294,JA71SP226FUX,JA,
295,JA71SP226GIA,JA,
296,JA71SP226TSE,JA,
297,JASP47MNBIA,JA,
298,JASP63N,JA,
299,JASP65N,JA,
300,JASP94N,JA,
301,JASP95N,JA,
302,LAB-00,LA,
303,LAB-008,LA,
304,LAB-012,LA,
305,LABC-004,LA,
306,LAC-006,LA,
307,LAC-014,LA,
308,LAL-005,LA,
309,LAL-013,LA,
310,LALABO-ROSE,LA,
311,LALABO-SANTAL,LA,
312,LAS-001,LA,
313,LAS-002,LA,
314,LAS-003,LA,
315,LAS-008,LA,
316,LAS-010,LA,
317,LAS-014,LA,
318,LAS-019,LA,
319,LAS-020,LA,
320,LAS-021,LA,
321,LASMS-014,LA,
322,LASMS-021,LA,
323,LBLBMD003,LB,
324,LBLBMD005,LB,
325,LBLBMD006,LB,
326,LBLBMD008,LB,
327,LBLBMD032,LB,
328,LBLBMD037,LB,
329,LBLBMD038,LB,
330,LBLBMD039,LB,
331,LBLBMP003,LB,
332,LBLBMP005,LB,
333,LBLBMP006,LB,
334,LBLBMP008,LB,
335,LBLBMP032,LB,
336,LBLBMP037,LB,
337,LBLBMP038,LB,
338,LBLBMP039,LB,
339,LBLBMS003,LB,
340,LBLBMS012,LB,
341,LBLBMS039,LB,
342,LE463003,LE,
343,LE463034,LE,
344,LE463041,LE,
345,LE463058,LE,
346,LE463348,LE,
347,LE463362,LE,
348,LE463386,LE,
349,LR10001,LR,
350,LR10012,LR,
351,LR10085,LR,
352,LR10161,LR,
353,LR10162,LR,
354,LR10164,LR,
355,LR10165,LR,
356,LR10166,LR,
357,LR10171,LR,
358,LR10223,LR,
359,LR10224,LR,
360,LR10303,LR,
361,LR10308,LR,
362,LR10309,LR,
363,LR10502,LR,
364,LR10509,LR,
365,LR10510,LR,
366,LR10513,LR,
367,LR10516,LR,
368,LR10522,LR,
369,LR10546,LR,
370,LR10553,LR,
371,LR10554,LR,
372,LR10558,LR,
373,LR10559,LR,
374,LR10572,LR,
375,LR10574,LR,
376,LR10575,LR,
377,LR10576,LR,
378,LR10609,LR,
379,LR10610,LR,
380,LR10611,LR,
381,LR10625,LR,
382,LR10631,LR,
383,LR10633,LR,
384,LR10634,LR,
385,LR10635,LR,
386,LR10636,LR,
387,LR10640,LR,
388,LR10641,LR,
389,LR10978,LR,
390,LR10980,LR,
391,LR10986,LR,
392,LR10996,LR,
393,LR11017,LR,
394,LR11018,LR,
395,LR11022,LR,
396,LR11023,LR,
397,LR11024,LR,
398,LR11032,LR,
399,LR11035,LR,
400,LR11036,LR,
401,LR11040,LR,
402,LR11045,LR,
403,LR11046,LR,
404,LR11047,LR,
405,LR11051,LR,
406,LR11052,LR,
407,LR11053,LR,
408,LR11054,LR,
409,LR11058,LR,
410,LR11061,LR,
411,LR11066,LR,
412,LR11076,LR,
413,LR11077,LR,
414,LR11081,LR,
415,LR11082,LR,
416,LR11083,LR,
417,LR11100,LR,
418,LR11161,LR,
419,LR11164,LR,
420,LR11171,LR,
421,MGBL219250,MG,
422,MGBM20016,MG,
423,MGBS20475,MG,
424,MGCC60509,MG,
425,MGCL61109,MG,
426,MGCM60009,MG,
427,MGCO60309,MG,
428,MGCR60109,MG,
429,MGCS61009,MG,
430,MGFC10008,MG,
431,MGFC51203,MG,
432,MGFC51850,MG,
433,MGFC51950,MG,
434,MGFM10104,MG,
435,MGFM10210,MG,
436,MGFM10704,MG,
437,MGFM11210,MG,
438,MGFM12815,MG,
439,MGFM13150,MG,
440,MGHC30108,MG,
441,MGHS30008,MG,
442,MGHS30016,MG,
443,MGHW20116,MG,
444,MGHW201250,MG,
445,MGHW20316,MG,
446,MGHW203250,MG,
447,MGHW207250,MG,
448,MGHW208250,MG,
449,MGHW20916,MG,
450,MGHW218250,MG,
451,MGPO901,MG,
452,MGSD20901,MG,
453,MGSD20973,MG,
454,MGST11612,MG,
455,MHAR601,MH,
456,MHCAD120,MH,
457,MHCDJ601,MH,
458,MHCDJ665,MH,
459,MHEN001,MH,
460,MHEN065,MH,
461,MHENBW01,MH,
462,MHENSP01,MH,
463,MHHIDBW01,MH,
464,MHHIDSP01,MH,
465,MHLD001,MH,
466,MHLD065,MH,
467,MHLIB101,MH,
468,MHLIB201,MH,
469,MHLIB601,MH,
470,MHLM001,MH,
471,MHLM065,MH,
472,MHLMBL01,MH,
473,MHLMBW01,MH,
474,MHLMHC01,MH,
475,MHLMSP01,MH,
476,MHLOSBW01,MH,
477,MHLOSSP01,MH,
478,MHLPFT601,MH,
479,MHLPFT665,MH,
480,MHMOS130,MH,
481,MHNAR110,MH,
482,MHPDS665,MH,
483,MHROLLLD003,MH,
484,MHROLLRS001,MH,
485,MHROLLTT002,MH,
486,MHRS001,MH,
487,MHRS065,MH,
488,MHRSBC01,MH,
489,MHRSBW01,MH,
490,MHRSHC01,MH,
491,MHRSSP01,MH,
492,MHTT001,MH,
493,MHTT065,MH,
494,MHTTBL01,MH,
495,MHTTBW01,MH,
496,MHTTHL01,MH,
497,MHTTHW01,MH,
498,MHTTSP01,MH,
499,MHVER100,MH,
500,MHVI001,MH,
501,MHWANBW01,MH,
502,MHWANSP01,MH,
503,NE1101163,NE,
504,NE1101164,NE,
505,NE1101165,NE,
506,NE1101166,NE,
507,NE1101167,NE,
508,NE1101168,NE,
509,NE1101169,NE,
510,NE1101170,NE,
511,NE1101171,NE,
512,NE1101172,NE,
513,NE1101173,NE,
514,NE1101174,NE,
515,NE1101175,NE,
516,NE1101177,NE,
517,NE1101253,NE,
518,NE1102039,NE,
519,NE1102042,NE,
520,NE1102063,NE,
521,NE1103067,NE,
522,NE1103068,NE,
523,NE1103069,NE,
524,NE1103070,NE,
525,NE1103071,NE,
526,NE1103072,NE,
527,NE1103073,NE,
528,NE1103074,NE,
529,NE1104001,NE,
530,NE1201024,NE,
531,NE1201027,NE,
532,NE1202035,NE,
533,NE1202036,NE,
534,NE1202038,NE,
535,NE1202052,NE,
536,NE1203010,NE,
537,NE1203011,NE,
538,NE1203012,NE,
539,NE1207006,NE,
540,NE1207007,NE,
541,NE1209023,NE,
542,NE1209024,NE,
543,NE1209025,NE,
544,NE1209026,NE,
545,NE1210008,NE,
546,NE1210009,NE,
547,NE1210014,NE,
548,NE1212016,NE,
549,NE1214005,NE,
550,NE1214006,NE,
551,NE1219011,NE,
552,NE1219013,NE,
553,NE1219014,NE,
554,NE1221001,NE,
555,NE1221002,NE,
556,NE1221003,NE,
557,NE1221004,NE,
558,NE1221008,NE,
559,NE1221009,NE,
560,NE1221011,NE,
561,NE1221012,NE,
562,NE1221013,NE,
563,NE1221014,NE,
564,NE1222001,NE,
565,NE1222002,NE,
566,NE1230001,NE,
567,NE1230002,NE,
568,NE14315,NE,
569,NY0010,NY,
570,NY0014,NY,
571,NY0035,NY,
572,NY0046,NY,
573,NY0048,NY,
574,NY0063,NY,
575,NY0068,NY,
576,NY0070,NY,
577,NY0081,NY,
578,NY0088,NY,
579,NY0094,NY,
580,NY0097,NY,
581,NY0114,NY,
582,NY0115,NY,
583,NY0151,NY,
584,NY0159,NY,
585,NY0181,NY,
586,NY0193,NY,
587,NY0305,NY,
588,NY0311,NY,
589,NY0314,NY,
590,NY0326,NY,
591,NY0356,NY,
592,NY0512,NY,
593,NY0520,NY,
594,NY0534,NY,
595,NY0538,NY,
596,NY0552,NY,
597,NY0554,NY,
598,NY0561,NY,
599,NY0569,NY,
600,NY0570,NY,
601,NY0572,NY,
602,NY0654,NY,
603,NY0670,NY,
604,NY0676,NY,
605,NY0677,NY,
606,NY0693,NY,
607,NY0701,NY,
608,NY0716,NY,
609,NY0721,NY,
610,NY0785,NY,
611,NY0826,NY,
612,NY0827,NY,
613,NY0828,NY,
614,NY0829,NY,
615,NY0830,NY,
616,NY0835,NY,
617,NY0868,NY,
618,NY0881,NY,
619,NY0898,NY,
620,NY0902,NY,
621,NY0980,NY,
622,NY0994,NY,
623,NY1000,NY,
624,NY1024,NY,
625,NY1050,NY,
626,NY1051,NY,
627,NY1052,NY,
628,NY1301,NY,
629,NY1307,NY,
630,NY1312,NY,
631,NY1401,NY,
632,NY1402,NY,
633,NY1418,NY,
634,NY1419,NY,
635,NY1513,NY,
636,NY1516,NY,
637,NY1520,NY,
638,NY1531,NY,
639,NY1533,NY,
640,NY1540,NY,
641,NY1542,NY,
642,NY1544,NY,
643,NY1608,NY,
644,NY1640,NY,
645,NY1647,NY,
646,NY1649,NY,
647,NY1655,NY,
648,NY1661,NY,
649,NY1663,NY,
650,NY1665,NY,
651,NY1797,NY,
652,NY1799,NY,
653,NY2008,NY,
654,NY2032,NY,
655,NY2037,NY,
656,NY2135,NY,
657,NY2143,NY,
658,NY2155,NY,
659,NY2161,NY,
660,NY2163,NY,
661,NY2164,NY,
662,NY2165,NY,
663,NY2166,NY,
664,NY2167,NY,
665,NY2168,NY,
666,NY2170,NY,
667,NY2171,NY,
668,NY2172,NY,
669,NY2173,NY,
670,NY2174,NY,
671,NY2175,NY,
672,NY2176,NY,
673,NY2177,NY,
674,NY2179,NY,
675,NY2180,NY,
676,NY2181,NY,
677,NY2182,NY,
678,NY2183,NY,
679,NY2184,NY,
680,NY2185,NY,
681,NY2186,NY,
682,NY2198,NY,
683,NY2199,NY,
684,NY2200,NY,
685,NY2201,NY,
686,NY2202,NY,
687,NY2203,NY,
688,NY2204,NY,
689,NY2205,NY,
690,NY2206,NY,
691,NY2207,NY,
692,NY2209,NY,
693,NY2213,NY,
694,NY2221,NY,
695,NY2224,NY,
696,NY2226,NY,
697,NY2229,NY,
698,NY2230,NY,
699,NY2231,NY,
700,NY2233,NY,
701,NY2236,NY,
702,NY2237,NY,
703,NY2240,NY,
704,NY2303,NY,
705,NY2310,NY,
706,NY2346,NY,
707,NY2362,NY,
708,NY2368,NY,
709,NY2369,NY,
710,NY2370,NY,
711,NY2381,NY,
712,NY2384,NY,
713,NY2391,NY,
714,NY2404,NY,
715,NY2407,NY,
716,NY2411,NY,
717,NY2415,NY,
718,NY2417,NY,
719,NY2419,NY,
720,NY2430,NY,
721,NY2500,NY,
722,NY2501,NY,
723,NY2709,NY,
724,NY2710,NY,
725,NY2711,NY,
726,NY2712,NY,
727,NY2713,NY,
728,NY2715,NY,
729,NY2748,NY,
730,NY2749,NY,
731,NY2801,NY,
732,NY2802,NY,
733,NY2803,NY,
734,NY2804,NY,
735,NY2805,NY,
736,NY3700,NY,
737,NY4909,NY,
738,NY4914,NY,
739,NY5212,NY,
740,NY6070,NY,
741,NY6071,NY,
742,NY6881,NY,
743,NY6882,NY,
744,NY6890,NY,
745,NY6891,NY,
746,NY7095,NY,
747,NY7096,NY,
748,NY7173,NY,
749,NY7419,NY,
750,NY8250,NY,
751,NY8252,NY,
752,NY8253,NY,
753,NY8356,NY,
754,NY8357,NY,
755,NY8359,NY,
756,NY8362,NY,
757,OM10501,OM,
758,OM10801,OM,
759,OM10901,OM,
760,OM11401,OM,
761,OM13401,OM,
762,OM13701,OM,
763,OM13811,OM,
764,OM13911,OM,
765,OM14501,OM,
766,OM14611,OM,
767,OM14701,OM,
768,OM14801,OM,
769,OM15101,OM,
770,OM15301,OM,
771,OM15401,OM,
772,OM16301,OM,
773,OM16411,OM,
774,OM16501,OM,
775,OM16901,OM,
776,OM17001,OM,
777,OM17101,OM,
778,OM17201,OM,
779,OM17601,OM,
780,OM17701,OM,
781,OM17801,OM,
782,OM17901,OM,
783,OM18301,OM,
784,OM19201,OM,
785,OM19501,OM,
786,RAAB0001A,RA,
787,RAAB0002A,RA,
788,RAAB0003A,RA,
789,RAAB0013A,RA,
790,RAAB0014A,RA,
791,RAAB0054,RA,
792,RAAB0055,RA,
793,RAAB0059,RA,
794,RAAB0068,RA,
795,RAAB0069,RA,
796,RAAB0075,RA,
797,RAAB0085,RA,
798,RAAB0089,RA,
799,RAAB0103,RA,
800,RE30344,RE,
801,RE30815,RE,
802,RE30894,RE,
803,RE31375,RE,
804,RE32294,RE,
805,RE3380A,RE,
806,RE3385A,RE,
807,RE33862,RE,
808,RE3609,RE,
809,RE3694A,RE,
810,RE3702A,RE,
811,RE3704A,RE,
812,RE3705A,RE,
813,RE3706A,RE,
814,RE3708A,RE,
815,RE3709A,RE,
816,RE3846,RE,
817,RE4042,RE,
818,RE4195,RE,
819,RE4224,RE,
820,RE4355,RE,
821,RE4410,RE,
822,RE44291,RE,
823,RE44411,RE,
824,RE4536,RE,
825,RE4556,RE,
826,RE4557,RE,
827,RE4581,RE,
828,RE4764,RE,
829,RE4767,RE,
830,UK02000058,UK,
831,UK03000006,UK,
832,UK03000007,UK,
833,UK4582328100014,UK,
834,UK4582328100021,UK,
835,UK4582328100038,UK,
836,UK4582328104234,UK,
837,UK4582328104500,UK,
838,UK4582328104517,UK,
839,UK4582328104609,UK,
840,UK4582328104616,UK,
841,UK4582328104647,UK,
842,UK4582328104654,UK,
843,UK4582328104661,UK,
844,UK4582328104678,UK,
845,UK4582328104685,UK,
846,UK4582328104692,UK,
847,UK4582328104715,UK,
848,UK4582328108102,UK,
849,UK4582328108119,UK,
850,UK4582328108126,UK,
851,UK4582328108133,UK,
852,UK4582328108140,UK,
853,UK4582328108225,UK,
854,UK4582328108232,UK,
855,UK4582328108249,UK,
856,UK4582328108256,UK,
857,UK4582328108263,UK,
858,UK4582328108270,UK,
859,UK4582328108287,UK,
860,UK4582328108294,UK,
861,UK4582328108300,UK,
862,UK4582328108317,UK,
863,UK4582328108447,UK,
864,UK4582328108454,UK,
865,UK4582328108461,UK,
866,UK4582328108584,UK,
867,UK4582328110563,UK,
